"","Survived","Pclass","Sex","Age"
"221",1,3,2,2
"222",0,2,2,3
"223",0,3,2,5
"224",0,3,2,3
"225",1,1,2,4
"226",0,3,2,3
"227",1,2,2,3
"228",0,3,2,3
"229",0,2,2,2
"230",0,3,1,3
"231",1,1,1,4
"232",0,3,2,3
"233",0,2,2,5
"234",1,3,1,1
"235",0,2,2,3
"236",0,3,1,3
"237",0,2,2,4
"238",1,2,1,1
"239",0,2,2,3
"240",0,2,2,4
"241",0,3,1,3
"242",1,3,1,3
"243",0,2,2,3
"244",0,3,2,3
"245",0,3,2,3
"246",0,1,2,4
"247",0,3,1,3
"248",1,2,1,3
"249",1,1,2,4
"250",0,2,2,5
"251",0,3,2,3
"252",0,3,1,3
"253",0,1,2,5
"254",0,3,2,3
"255",0,3,1,4
"256",1,3,1,3
"257",1,1,1,4
"258",1,1,1,3
"259",1,1,1,4
"260",1,2,1,4
"261",0,3,2,3
"262",1,3,2,1
"263",0,1,2,5
"264",0,1,2,4
"265",0,3,1,3
"266",0,2,2,4
"267",0,3,2,2
"268",1,3,2,3
"269",1,1,1,5
"270",1,1,1,4
"271",0,1,2,4
"272",1,3,2,3
"273",1,2,1,4
"274",0,1,2,4
"275",1,3,1,3
"276",1,1,1,5
"277",0,3,1,4
"278",0,2,2,4
"279",0,3,2,1
"280",1,3,1,4
"281",0,3,2,5
"282",0,3,2,3
"283",0,3,2,2
"284",1,3,2,3
"285",0,1,2,4
"286",0,3,2,4
"287",1,3,2,3
"288",0,3,2,3
"289",1,2,2,4
"290",1,3,1,3
"291",1,1,1,3
"292",1,1,1,3
"293",0,2,2,4
"294",0,3,1,3
"295",0,3,2,3
"296",0,1,2,4
"297",0,3,2,3
"298",0,1,1,1
"299",1,1,2,4
"300",1,1,1,4
"301",1,3,1,3
"302",1,3,2,3
"303",0,3,2,3
"304",1,2,1,3
"305",0,3,2,3
"306",1,1,2,1
"307",1,1,1,4
"308",1,1,1,2
"309",0,2,2,3
"310",1,1,1,3
"311",1,1,1,3
"312",1,1,1,2
"313",0,2,1,3
"314",0,3,2,3
"315",0,2,2,4
"316",1,3,1,3
"317",1,2,1,3
"318",0,2,2,5
"319",1,1,1,4
"320",1,1,1,4
"321",0,3,2,3
"322",0,3,2,3
"323",1,2,1,3
"324",1,2,1,3
"325",0,3,2,3
"326",1,1,1,4
"327",0,3,2,5
"328",1,2,1,4
"329",1,3,1,4
"330",1,1,1,2
"331",1,3,1,3
"332",0,1,2,4
"333",0,1,2,4
"334",0,3,2,2
"335",1,1,1,4
"336",0,3,2,3
"337",0,1,2,3
"338",1,1,1,4
"339",1,3,2,4
"340",0,1,2,4
"341",1,2,2,1
"342",1,1,1,3
"343",0,2,2,3
"344",0,2,2,3
"345",0,2,2,4
"346",1,2,1,3
"347",1,2,1,4
"348",1,3,1,3
"349",1,3,2,1
"350",0,3,2,4
"351",0,3,2,3
"352",0,1,2,4
"353",0,3,2,2
"354",0,3,2,3
"355",0,3,2,3
"356",0,3,2,3
"357",1,1,1,3
"358",0,2,1,4
"359",1,3,1,3
"360",1,3,1,3
"361",0,3,2,4
"362",0,2,2,3
"363",0,3,1,4
"364",0,3,2,4
"365",0,3,2,3
"366",0,3,2,3
"367",1,1,1,5
"368",1,3,1,3
"369",1,3,1,3
"370",1,1,1,3
"371",1,1,2,3
"372",0,3,2,2
"373",0,3,2,3
"374",0,1,2,3
"375",0,3,1,1
"376",1,1,1,4
"377",1,3,1,3
"378",0,1,2,3
"379",0,3,2,3
"380",0,3,2,3
"381",1,1,1,4
"382",1,3,1,1
"383",0,3,2,4
"384",1,1,1,4
"385",0,3,2,3
"386",0,2,2,2
"387",0,3,2,1
"388",1,2,1,4
"389",0,3,2,3
"390",1,2,1,2
"391",1,1,2,4
"392",1,3,2,3
"393",0,3,2,3
"394",1,1,1,3
"395",1,3,1,3
"396",0,3,2,3
"397",0,3,1,4
"398",0,2,2,4
"399",0,2,2,3
"400",1,2,1,3
"401",1,3,2,4
"402",0,3,2,3
"403",0,3,1,3
"404",0,3,2,3
"405",0,3,1,3
"406",0,2,2,4
"407",0,3,2,5
"408",1,2,2,1
"409",0,3,2,3
"410",0,3,1,3
"411",0,3,2,3
"412",0,3,2,3
"413",1,1,1,4
"414",0,2,2,4
"415",1,3,2,4
"416",0,3,1,3
"417",1,2,1,4
"418",1,2,1,2
"419",0,2,2,3
"420",0,3,1,1
"421",0,3,2,3
"422",0,3,2,3
"423",0,3,2,3
"424",0,3,1,3
"425",0,3,2,2
"426",0,3,2,3
"427",1,2,1,3
"428",1,2,1,3
"429",0,3,2,3
"430",1,3,2,4
"431",1,1,2,3
"432",1,3,1,3
"433",1,2,1,4
"434",0,3,2,2
"435",0,1,2,4
"436",1,1,1,2
"437",0,3,1,3
"438",1,2,1,3
"439",0,1,2,5
"440",0,2,2,4
"441",1,2,1,4
"442",0,3,2,3
"443",0,3,2,3
"444",1,2,1,3
"445",1,3,2,3
"446",1,1,2,1
"447",1,2,1,2
"448",1,1,2,4
"449",1,3,1,1
"450",1,1,2,5
"451",0,2,2,4
"452",0,3,2,3
"453",0,1,2,3
"454",1,1,2,4
"455",0,3,2,3
"456",1,3,2,3
"457",0,1,2,5
"458",1,1,1,4
"459",1,2,1,4
"460",0,3,2,3
"461",1,1,2,4
"462",0,3,2,4
"463",0,1,2,4
"464",0,2,2,4
"465",0,3,2,3
"466",0,3,2,4
"467",0,2,2,4
"468",0,1,2,5
"469",0,3,2,3
"470",1,3,1,1
"471",0,3,2,3
"472",0,3,2,4
"473",1,2,1,4
"474",1,2,1,3
"475",0,3,1,3
"476",0,1,2,4
"477",0,2,2,4
"478",0,3,2,3
"479",0,3,2,3
"480",1,3,1,1
"481",0,3,2,1
"482",0,2,2,4
"483",0,3,2,4
"484",1,3,1,5
"485",1,1,2,3
"486",0,3,1,3
"487",1,1,1,4
"488",0,1,2,5
"489",0,3,2,3
"490",1,3,2,1
"491",0,3,2,3
"492",0,3,2,3
"493",0,1,2,5
"494",0,1,2,5
"495",0,3,2,3
"496",0,3,2,3
"497",1,1,1,5
"498",0,3,2,3
"499",0,1,1,3
"500",0,3,2,3
"501",0,3,2,2
"502",0,3,1,3
"503",0,3,1,3
"504",0,3,1,4
"505",1,1,1,2
"506",0,1,2,2
"507",1,2,1,4
"508",1,1,2,4
"509",0,3,2,3
"510",1,3,2,3
"511",1,3,2,3
"512",0,3,2,3
"513",1,1,2,4
"514",1,1,1,5
"515",0,3,2,3
"516",0,1,2,4
"517",1,2,1,4
"518",0,3,2,3
"519",1,2,1,4
"520",0,3,2,4
"521",1,1,1,3
"522",0,3,2,3
"523",0,3,2,3
"524",1,1,1,4
"525",0,3,2,3
"526",0,3,2,4
"527",1,2,1,4
"528",0,1,2,4
"529",0,3,2,4
"530",0,2,2,3
"531",1,2,1,1
"532",0,3,2,3
"533",0,3,2,2
"534",1,3,1,3
"535",0,3,1,3
"536",1,2,1,1
"537",0,1,2,4
"538",1,1,1,3
"539",0,3,2,3
"540",1,1,1,3
"541",1,1,1,4
"542",0,3,1,1
"543",0,3,1,1
"544",1,2,2,4
"545",0,1,2,4
"546",0,1,2,5
"547",1,2,1,3
"548",1,2,2,3
"549",0,3,2,4
"550",1,2,2,1
"551",1,1,2,2
"552",0,2,2,3
"553",0,3,2,3
"554",1,3,2,3
"555",1,3,1,3
"556",0,1,2,5
"557",1,1,1,4
"558",0,1,2,4
"559",1,1,1,4
"560",1,3,1,4
"561",0,3,2,3
"562",0,3,2,4
"563",0,2,2,3
"564",0,3,2,3
"565",0,3,1,3
"566",0,3,2,3
"567",0,3,2,3
"568",0,3,1,3
"569",0,3,2,3
"570",1,3,2,4
"571",1,2,2,5
"572",1,1,1,5
"573",1,1,2,4
"574",1,3,1,3
"575",0,3,2,2
"576",0,3,2,3
"577",1,2,1,4
"578",1,1,1,4
"579",0,3,1,3
"580",1,3,2,4
"581",1,2,1,3
"582",1,1,1,4
"583",0,2,2,5
"584",0,1,2,4
"585",0,3,2,3
"586",1,1,1,2
"587",0,2,2,4
"588",1,1,2,5
"589",0,3,2,3
"590",0,3,2,3
"591",0,3,2,4
"592",1,1,1,5
"593",0,3,2,4
"594",0,3,1,3
"595",0,2,2,4
"596",0,3,2,4
"597",1,2,1,3
"598",0,3,2,4
"599",0,3,2,3
"600",1,1,2,4
"601",1,2,1,3
"602",0,3,2,3
"603",0,1,2,4
"604",0,3,2,4
"605",1,1,2,4
"606",0,3,2,4
"607",0,3,2,3
"608",1,1,2,3
"609",1,2,1,3
"610",1,1,1,4
"611",0,3,1,4
"612",0,3,2,3
"613",1,3,1,3
"614",0,3,2,3
"615",0,3,2,4
"616",1,2,1,3
"617",0,3,2,4
"618",0,3,1,3
"619",1,2,1,1
"620",0,2,2,3
"621",0,3,2,3
"622",1,1,2,4
"623",1,3,2,3
"624",0,3,2,3
"625",0,3,2,3
"626",0,1,2,5
"627",0,2,2,5
"628",1,1,1,3
"629",0,3,2,3
"630",0,3,2,3
"631",1,1,2,5
"632",0,3,2,5
"633",1,1,2,4
"634",0,1,2,4
"635",0,3,1,1
"636",1,2,1,3
"637",0,3,2,4
"638",0,2,2,4
"639",0,3,1,4
"640",0,3,2,3
"641",0,3,2,3
"642",1,1,1,3
"643",0,3,1,1
"644",1,3,2,3
"645",1,3,1,1
"646",1,1,2,4
"647",0,3,2,3
"648",1,1,2,5
"649",0,3,2,3
"650",1,3,1,3
"651",0,3,2,3
"652",1,2,1,2
"653",0,3,2,3
"654",1,3,1,3
"655",0,3,1,2
"656",0,2,2,3
"657",0,3,2,3
"658",0,3,1,4
"659",0,2,2,3
"660",0,1,2,5
"661",1,1,2,4
"662",0,3,2,4
"663",0,1,2,4
"664",0,3,2,4
"665",1,3,2,3
"666",0,2,2,4
"667",0,2,2,3
"668",0,3,2,3
"669",0,3,2,4
"670",1,1,1,4
"671",1,2,1,4
"672",0,1,2,4
"673",0,2,2,5
"674",1,2,2,4
"675",0,2,2,4
"676",0,3,2,2
"677",0,3,2,3
"678",1,3,1,2
"679",0,3,1,4
"680",1,1,2,4
"681",0,3,1,3
"682",1,1,2,3
"683",0,3,2,3
"684",0,3,2,2
"685",0,2,2,5
"686",0,2,2,3
"687",0,3,2,2
"688",0,3,2,3
"689",0,3,2,2
"690",1,1,1,2
"691",1,1,2,4
"692",1,3,1,1
"693",1,3,2,3
"694",0,3,2,3
"695",0,1,2,5
"696",0,2,2,5
"697",0,3,2,4
"698",1,3,1,3
"699",0,1,2,4
"700",0,3,2,4
"701",1,1,1,2
"702",1,1,2,4
"703",0,3,1,2
"704",0,3,2,3
"705",0,3,2,3
"706",0,2,2,4
"707",1,2,1,4
"708",1,1,2,4
"709",1,1,1,3
"710",1,3,2,3
"711",1,1,1,3
"712",0,1,2,4
"713",1,1,2,4
"714",0,3,2,3
"715",0,2,2,5
"716",0,3,2,3
"717",1,1,1,4
"718",1,2,1,3
"719",0,3,2,3
"720",0,3,2,4
"721",1,2,1,1
"722",0,3,2,2
"723",0,2,2,4
"724",0,2,2,4
"725",1,1,2,3
"726",0,3,2,3
"727",1,2,1,3
"728",1,3,1,3
"729",0,2,2,3
"730",0,3,1,3
"731",1,1,1,3
"732",0,3,2,1
"733",0,2,2,4
"734",0,2,2,3
"735",0,2,2,3
"736",0,3,2,3
"737",0,3,1,4
"738",1,1,2,4
"739",0,3,2,3
"740",0,3,2,3
"741",1,1,2,4
"742",0,1,2,4
"743",1,1,1,3
"744",0,3,2,3
"745",1,3,2,4
"746",0,1,2,5
"747",0,3,2,2
"748",1,2,1,3
"749",0,1,2,3
"750",0,3,2,4
"751",1,2,1,1
"752",1,3,2,1
"753",0,3,2,4
"754",0,3,2,3
"755",1,2,1,4
"756",1,2,2,1
"757",0,3,2,3
"758",0,2,2,2
"759",0,3,2,4
"760",1,1,1,4
"761",0,3,2,3
"762",0,3,2,4
"763",1,3,2,3
"764",1,1,1,4
"765",0,3,2,2
"766",1,1,1,5
"767",0,1,2,4
"768",0,3,1,4
"769",0,3,2,3
"770",0,3,2,4
"771",0,3,2,3
"772",0,3,2,4
"773",0,2,1,5
"774",0,3,2,3
"775",1,2,1,5
"776",0,3,2,2
"777",0,3,2,3
"778",1,3,1,1
"779",0,3,2,3
"780",1,1,1,4
"781",1,3,1,2
"782",1,1,1,2
"783",0,1,2,3
"784",0,3,2,3
"785",0,3,2,3
"786",0,3,2,3
"787",1,3,1,2
"788",0,3,2,1
"789",1,3,2,1
"790",0,1,2,4
"791",0,3,2,3
"792",0,2,2,2
"793",0,3,1,3
"794",0,1,2,4
"795",0,3,2,3
"796",0,2,2,4
"797",1,1,1,4
"798",1,3,1,4
"799",0,3,2,3
"800",0,3,1,3
"801",0,2,2,4
"802",1,2,1,4
"803",1,1,2,1
"804",1,3,2,1
"805",1,3,2,3
"806",0,3,2,4
"807",0,1,2,4
"808",0,3,1,2
"809",0,2,2,4
"810",1,1,1,4
"811",0,3,2,3
"812",0,3,2,4
"813",0,2,2,4
"814",0,3,1,1
"815",0,3,2,4
"816",0,1,2,4
"817",0,3,1,3
"818",0,2,2,4
"819",0,3,2,4
"820",0,3,2,1
"821",1,1,1,5
"822",1,3,2,3
"823",0,1,2,4
"824",1,3,1,3
"825",0,3,2,1
"826",0,3,2,3
"827",0,3,2,3
"828",1,2,2,1
"829",1,3,2,3
"830",1,1,1,5
"831",1,3,1,2
"832",1,2,2,1
"833",0,3,2,3
"834",0,3,2,3
"835",0,3,2,2
"836",1,1,1,4
"837",0,3,2,3
"838",0,3,2,3
"839",1,3,2,4
"840",1,1,2,4
"841",0,3,2,3
"842",0,2,2,2
"843",1,1,1,3
"844",0,3,2,4
"845",0,3,2,2
"846",0,3,2,4
"847",0,3,2,3
"848",0,3,2,4
"849",0,2,2,3
"850",1,1,1,4
"851",0,3,2,1
"852",0,3,2,5
"853",0,3,1,1
"854",1,1,1,2
"855",0,2,1,4
"856",1,3,1,2
"857",1,1,1,4
"858",1,1,2,5
"859",1,3,1,3
"860",0,3,2,3
"861",0,3,2,4
"862",0,2,2,3
"863",1,1,1,4
"864",0,3,1,3
"865",0,2,2,3
"866",1,2,1,4
"867",1,2,1,3
"868",0,1,2,4
"869",0,3,2,3
"870",1,3,2,1
"871",0,3,2,3
"872",1,1,1,4
"873",0,1,2,4
"874",0,3,2,4
"875",1,2,1,3
"876",1,3,1,2
"877",0,3,2,3
"878",0,3,2,3
"879",0,3,2,3
"880",1,1,1,5
"881",1,2,1,3
"882",0,3,2,4
"883",0,3,1,3
"884",0,2,2,3
"885",0,3,2,3
"886",0,3,1,4
"887",0,2,2,3
"888",1,1,1,3
"889",0,3,1,3
"890",1,1,2,3
"891",0,3,2,4
